"Year week","Pizza","Price offer","Christmas","New year","17th of May - National day","Easter","Kr. Himmelfart (Ascension day)","Pinse (pentecost)","Summer vacation","Temperature","Precipitation","Sun","Campaign 1","Campaign 2","Campaign 3","Campaign 4","Campaign 5","Campaign 6","Campaign 7","Campaign 8","Campaign 9","Campaign 10","Campaign 11","Campaign 12","Campaign 13","Campaign 14","Campaign 15","Campaign 16","Campaign17","Campaign 18","Competitor 1","Competitor 2","Competitor 3","Competitor 4","Competitor 5","Competitor 6","Competitor 7"
"12",93.4006073347349,3.03510642538029,0,0,0,3,0,0,0,-3.52999101233079,11.2279694057114,12.2770536471293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0
"13",93.7341742583509,1.01635725630213,0,0,0,1,0,0,0,-1.88413292212675,24.2305982874084,10.517807192307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153.2,0,0,0,34.8,0
"14",105.671572062602,0.860689597780913,0,0,0,0,0,0,0,3.75576810650837,21.4380196785292,6.8018725137978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,0,0,0,40.1,0
"15",112.40551273067,0.972667250399635,0,0,0,0,0,0,0,2.27320639872737,21.940884834473,12.2970522864274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145.1,0,0,0,35.4,0
"16",138.989021256716,7.20383796339246,0,0,0,0,0,0,0,4.16517929978322,6.00163248287701,14.1300379543947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123.2,0
"17",115.183368371876,1.68698379473567,0,0,0,0,0,0,0,7.20479446323514,10.8783137444274,19.5275094386148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124.7,0
"18",108.51857042747,1.07553071805601,0,0,0,0,1,0,0,10.3182984495875,24.2166837472908,15.0298320421692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202.7,0,0,0,122.1,0
"19",117.955617846298,1.33803213298171,0,0,0,0,0,1,0,11.9011092828312,15.5019947869092,21.3494259143931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.1,0,0,0,95.6,0
"20",106.834851670171,1.28644667764112,0,0,1,0,0,1,0,7.41496959976793,9.97090307378166,23.6096713802183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.3,0
"21",122.276103714086,0.194316988730347,0,0,0,0,0,0,0,8.31598325640459,12.9141421863741,22.6722557239277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.6,0
